"","score","text"
"1",1,"oh my well then https …"
"2",1,"oh my well then"
"3",-1,"did she accuse you of being in a ideology that s what staff do lately lol"
"4",1,"we love our kittens cats in our household"
"5",2,"if you have a conviction but then it offends a self righteous minority so you dilute your conviction it turns into an ideal…"
"6",0,"starting to get very old just repair the lines already"
"7",2,"glad telstra has explained their step back from equality isn t a step back from equality hot tip it is"
"8",4,"great night with our best and brightest and their mentors mayors technology awards"
"9",-2,"dear if you want to avoid controversial issues consider cutting your commercial ties w an institution that covers…"
"10",1,"well we now know old male child rapists have more power than the australian people in a publicly listed company"
"11",-1,"how about we organise a consumer boycott of for bowing to the medieval bigots and child abusers of the catholic chu…"
"12",2,"so still supports but will no longer publicly participate in the debate how useful ht…"
"13",0,"yikes"
"14",0,"in trying to appease both gays and catholics isn t assuming there is no overlap between the two"
"15",1,"continues to excel itself in sheer incompetence good job"
"16",2,"so still supports but will no longer publicly participate in the debate how useful"
"17",0,"catholic church silences on same sex marriage"
"18",1,"a great day on the for at"
"19",-2,"poor business decision tip for the future dont alienate your customers if you have any left"
"20",-1,"if had balls they would have told the archbishop of syd amp the catholic church to politely fuck off"
"21",2,"i wonder how the employees of feel about s decision to withdraw from supporting divers…"
"22",0,""
"23",2,"i wonder how the employees of feel about s decision to withdraw from supporting diversity my arse ed u a u bd ed u b u"
"24",0,"you suck and and right wing nuts"
"25",-1,"poor form"
"26",-2,"one assumes that the men you employ are aware that raping children is illegal"
"27",-1,"former chairwoman struck deal w catholic church to stop campaigning marriage equality"
"28",1,"ceo we support it just staying out of it 

bruce springsteen screw the money i have principles 

note the d…"
"29",0,"my piece on in australian corporations and and"
"30",1,"let s not forget do you support marriage equality unlike your counterpart"
"31",-1,"denies catholic pressure forced it to abandon marriage equality campaign"
"32",0,"cto if everyone stops talking about maybe some of it can actually get done"
"33",0,"and owns"
"34",0,"given the telstra troubles we have all been having shouldn t you be giving away free movie tickets"
"35",-2,"hell of a way to come back from those pr troubles you ve been having lately"
"36",0,"huge mistake the lgbti community have a lot of allies who dont like your decision"
"37",0,"new vlog on my discussing and the link in bio ed u a u bd ed u b u b"
"38",0,"honouring their marketing slogan the network without equal"
"39",-1,"oh the burn ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a"
"40",1,"what s the point of g it s basically like having no signal"
"41",1,"direct just like the church was in demanding you follow their diktat"
"42",0,"is there a story on i m watching the news"
"43",0,"is there a story on tonight"
"44",0,"is there a story about tonight"
"45",-1,"want the nbn do go though this lot absolutely hopeless no business phone line for over two weeks"
"46",2,"have gone from supporting marriage equality to withdrawing from the debate to now supporting a plebiscite …"
"47",-1,"anyone in having issues specifically with data"
"48",1,"i predict will end up giving give free data to same sex marriage supporters this sunday"
"49",-1,"erm thanks i m expecting it to be as fraught as a call to and as long"
"50",2,"have gone from supporting marriage equality to withdrawing from the debate to now supporting a plebiscite"
"51",0,"media placements are everything"
"52",-1,"has the catholic church sent the same threatening letter to banks to stop them lending to gays yet

 https…"
"53",0,"i ll be taking my business elsewhere as soon as possible 

as for you catholic church yet again you"
"54",2,"if you have a conviction but then it offends a self righteous minority so you dilute your conviction it turns into an ideal instead"
"55",0,"but as soon as my contracts are up i m moving ships"
"56",-1,"the church and its weakening grip over and taxes"
"57",0,"is being paid billion by"
"58",-1,"i m also waiting for catholic church to call malcolm turnbull regarding mathew"
"59",0,"go ed u a u bd ed u b u f ed u a u bd ed u b u f ed u a u bd ed u b u f"
"60",0,"’s marriage equality support as unreliable as their services"
"61",1,"removed its support for same sex allegedly due to pressure from the church"
"62",-1,"shame on you"
"63",1,"after s removal of gay marriage support amp could set up a webpage to help switch custo…"
"64",-3,"such a massive bad decision you have just damaged your brand so badly by caving in to them"
"65",0,"imho given the public hammering is taking any ceo worth their salt is going to think twice about making the same mistake"
"66",0,"telco s like rip the australian people off especially with the amount of credit data given to pre paid customers"
"67",1,"interesting understands your business needs but not your sexuality 
i don t get it"
"68",0,"please come back and fix"
"69",2,"today s thanks for support goes to amp you re golden u u fe f"
"70",-1,"so tried to blame on but with that recovery time we agreed that was inconceivable"
"71",0,"my open letter to"
"72",0,"and are the catholic churches lap dogs"
"73",0,"what a load of bs we support equality but we equally support intolerance"
"74",0,"retreats from a campaign pushing for same sex marriage after pressure from the catholic church"
"75",1,"what about you do you support marriage equality unlike your competitor i need to move asap"
"76",-1,"we tried to sign up a k contract this week and they were disinterested ahh yes big govt contracts go"
"77",-3,"ceo tries desperately and unsuccessfully to back pedal on pr disaster"
"78",-1,"you re such an embarrassment i ll be shopping for a new carrier asap ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bc ed u bf u bb ed u a u bd ed u b u ed u a u bc ed u bf u bc ed u a u bd ed u b u ed u a u bc ed u bf u bf"
"79",2,"we support but we arent going to tell anyone we do 
so to keep the airways clear for bigots 
 https …"
"80",0,"guess the disco phone booths during mardi gras were a selfless act and not a pink washing brand exercise https …"
"81",-1,"telstra losing its thodey mojo to reawaken old memories"
"82",0,"ask lh can i get out of my contract for"
"83",0,"has found a way to travel back to"
"84",-1,"grave concern"
"85",0,"short video regarding my thoughts on and"
"86",0,"shame on you thank god i m with"
"87",-1,"hi my view aust should be dictatorship hope you re allowing room for my diverse ignorant view"
"88",2,"with amp supporting i wonder where the were planning to take their bu…"
"89",0,"an exercise in what not to do with your corporate social responsibility policy"
"90",0,"catholic church silences on same sex marriage https…"
"91",2,"you won t support same sex equality but support the catholic church who try to cover up their perverted child molesting priests"
"92",0,"your holiness are you aware of this"
"93",0,"backs away"
"94",0,"so how many of you pitchforkers cancelled your services today sounds of crickets"
"95",0,"swap with gender equality or racial equality and see how it sounds"
"96",1,"good bye i will be taking my business elsewhere"
"97",-2,"denies backflip is ssm we call bullshit you ve caved in on decency and equity for profit slow hand clap"
"98",2,"supporting equality due to values amp ideals consistent with that cause not to increase custom"
"99",0,"bows to church purse solution switch to amp stop sending kids to catholic schools same sex ads"
"100",0,"australia where a major telecommunications company is controlled by vatican decrees …"
"101",0,"broadband users locked out of hundreds of websites"
"102",-1,"unlikely story from time for some back peddling"
"103",2,"we support but we arent going to tell anyone we do 
so to keep the airways clear for bigots"
"104",0,"the tax free church bullying"
"105",0,"we re live in 
tune into w here"
"106",0,"i d say the bigger pr issue for that it maintains significant commercial ties with a body that covered up the sexua…"
"107",-2,"catholic church forces to backflip on a pro lgbt advert what the fuck this must be a joke"
"108",2,"with amp supporting i wonder where the were planning to take their business"
"109",0,"it is alleged andrew let s not come to conclusions shall we"
"110",-1,"the church s weakening grip over and taxes"
"111",1,"out of respect for opinions we disagree with we will remain silent and let them speak instead 
 

 money
 or whatever"
"112",1,"i predict will end up giving give free data to samesex marriage supporters this sunday"
"113",-1,"telecom giant withdraws support for gay marriage after boycott threat from church"
"114",-1,"a sorry tale of dealing with ’s ‘customer"
"115",0,"we are committed to diversity and equality but only if it benefits our hip pockets otherwise fuck that"
"116",3,"the catholic church 
pinnacle of morality 
covered up child abuse
tells they can t support marriage equality"
"117",-1,"s next regressive policy those found in arrears will now be stoned"
"118",0,"who is advising these people did tony abbott and turnbull start a marketing agency and sell their services to"
"119",0,"fix my services"
"120",-2,"standing by silently consent to what you fail to oppose would you tolerate apartheid too"
"121",0,"folds like cheap suit"
"122",0,"absolutely weak response doesn t want to be a leader like disney salesforce paypal"
"123",-2,"tone deaf platitudes accepting all views especially intolerant ones isn t diversity terrible response"
